Tree ID,Common Name,Species,lon,lat,type
1,California buckeye ,Aesculus californica,-122.488098,37.782402,deciduous
2,Coast live oak ,Quercus agrifolia,-122.425613,37.7686,evergreen
3,Coast live oak ,Quercus agrifolia,-122.434792,37.752884,evergreen
4,New Zealand Christmas Tree ,Metrosiderous excelsus,-122.451958,37.76149,evergreen
5,Six Blue Gum ,Eucalyptus globulus,-122.427414,37.787624,evergreen
6,Brazillian pepper ,Schinus terebinthifolius,-122.393318,37.727798,evergreen
7,Flaxleaf paperbark ,Melaleuca linariifolia,-122.423996,37.790165,evergreen
8,Sweet Bay ,Laurus nobilis,-122.400635,37.796379,evergreen
9,Cliff Date Palm ,Phoenix rupicola,-122.425812,37.757717,deciduous
10,Cliff Date Palm ,Phoenix rupicola,-122.424538,37.744686,deciduous
11,Grove of Guadalupe Palm ,Brahea edulis,-122.424484,37.743702,evergreen
12,Moreton Bay Fig ,Ficus macrophylla,-122.420227,37.747475,evergreen
13,Two Flowering Ash ,Fraxinus ornus,-122.416504,37.73904,deciduous
14,Blue Elderberry ,Sambucus mexicana,-122.412567,37.743614,evergreen
15,Manzanita ,Arctostaphylos sp.,-122.454926,37.783604,deciduous
16,Monterey Cypress ,Cupressus macrocarpa,-122.440628,37.79454,evergreen
17,California Buckeye tree ,Aesculus Californica,-122.392876,37.756687,deciduous
18,California buckeye ,Aesculus californica,-122.488098,37.782402,deciduous
19,Coast live oak ,Quercus agrifolia,-122.425613,37.7686,evergreen
20,Coast live oak ,Quercus agrifolia,-122.434792,37.752884,evergreen
21,New Zealand Christmas Tree ,Metrosiderous excelsus,-122.451958,37.76149,evergreen
22,Six Blue Gum ,Eucalyptus globulus,-122.427414,37.787624,evergreen
23,Brazillian pepper ,Schinus terebinthifolius,-122.393318,37.727798,evergreen
24,Flaxleaf paperbark ,Melaleuca linariifolia,-122.423996,37.790165,evergreen
25,Sweet Bay ,Laurus nobilis,-122.400635,37.796379,evergreen
26,Cliff Date Palm ,Phoenix rupicola,-122.425812,37.757717,deciduous
27,Cliff Date Palm ,Phoenix rupicola,-122.424538,37.744686,deciduous
28,Grove of Guadalupe Palm ,Brahea edulis,-122.424484,37.743702,evergreen
29,Moreton Bay Fig ,Ficus macrophylla,-122.420227,37.747475,evergreen
30,Two Flowering Ash ,Fraxinus ornus,-122.416504,37.73904,deciduous
31,Blue Elderberry ,Sambucus mexicana,-122.412567,37.743614,evergreen
32,Manzanita ,Arctostaphylos sp.,-122.454926,37.783604,deciduous
33,Monterey Cypress ,Cupressus macrocarpa,-122.440628,37.79454,evergreen
34,California Buckeye tree ,Aesculus Californica,-122.392876,37.756687,deciduous
35,Redwood tree ,Sequoia sempervirens,-122.441597,37.734595,evergreen
36,All Canary Island Date Palms ,Phoenix canariensis,-122.425484,37.754921,evergreen
37,Thirteen Canary Island Date Palm ,Phoenix canariensis,-122.3922575,37.73381,evergreen
38,All Canary Island Date Palms ,Phoenix canariensis,-122.425484,37.754921,evergreen
39,Thirteen Canary Island Date Palm ,Phoenix canariensis,-122.3922575,37.73381,evergreen